home_team_win,pitching_earned_run_avg_10RA_diff,pitching_SO_batters_faced_10RA_diff,pitcher_earned_run_avg_10RA_diff,pitcher_SO_batters_faced_10RA_diff,spread_mean_diff,batting_wpa_bat_mean_diff,pitching_earned_run_avg_mean_diff,pitching_SO_batters_faced_mean_diff,pitching_wpa_def_mean_diff,pitcher_earned_run_avg_mean_diff,pitcher_SO_batters_faced_mean_diff,pitcher_wpa_def_mean_diff
1,-0.563368953,1.534534938,-0.660755811,-0.861169044,0.39028468,-0.021884935,0.428429578,-0.868046045,-0.240883958,0.239216801,-0.897873219,-0.682283678
0,0.559842837,-0.122849631,0.864861532,0.55818632,-0.738436621,-0.144269876,1.305892603,-1.604883147,-1.021598629,0.91749074,0.582771869,-1.202703425
1,3.528656186,0.444653534,0.526848496,0.717552911,-1.568676548,-1.197777693,2.327430842,-0.353002693,-1.087092057,0.56897451,0.592913914,-1.805311683
1,0.195918081,-0.186679385,0.585209581,-0.987471143,-0.624464644,0.482848291,-0.28537027,-1.016000318,-0.813216767,0.626821317,-0.951286051,-1.654310036
0,0.529688841,-0.953459182,0.392641805,-0.171198037,0.25887264,-1.220763632,0.428697183,1.835520519,-0.805237188,0.785377041,0.143530438,-0.839182203
1,-2.13669153,-0.048093133,0.315932882,0.550067072,-0.260282369,0.203499562,0.158785481,0.792485401,1.382218022,0.327732432,0.569532749,0.668573823
0,0.009285645,-0.673065112,-0.415648925,-1.538413056,-0.311987864,-0.240028863,-2.454294385,0.630452079,-0.107724037,-0.432533854,-1.608784443,0.617587682
0,-0.114915296,0.664929459,3.2543484,0.495154926,0.722087922,-1.222046368,-0.12740707,0.839967999,1.05645674,3.439318512,0.766208829,-4.225400437
1,0.907032088,0.979793394,-1.399811469,-1.508289941,0.055657767,-0.557429211,-0.755103739,0.441525215,0.202954325,-1.48721705,-1.581142311,3.110902757
1,-2.042658744,0.304837958,-0.580308282,-0.682244554,0.863580988,-0.006011461,-1.264634692,1.350370935,1.995006257,-0.605310755,-0.721736629,1.705535783
0,-1.658184349,1.329540817,-0.258230338,2.11232115,3.134156736,0.846297371,-3.370878031,4.076119392,3.586023406,-0.277584902,2.203806856,0.222506263
0,0.533856603,-2.154272259,1.241565913,0.41444695,-2.082510273,0.228743044,1.484245933,-1.72878243,0.115902347,1.311194869,-0.082099419,-2.028840045
1,-2.452111497,0.768786153,0.235035778,0.10279719,0.095568391,-0.963050099,-0.668385238,0.236735684,0.616773292,-0.364951175,0.864638179,-0.907435744
0,-0.017895574,0.057508405,-0.250313224,2.213802799,-1.315046296,-1.197024566,0.09035342,0.903909692,0.497310236,-0.263894411,2.305685296,1.174397648
1,0.777393172,-1.573266026,0.629846832,-3.745933148,0.25425563,0.671882939,0.423439858,-2.055517224,0.48801501,0.287569954,-3.697324009,0.189043545
1,0.269860953,-0.678147043,0,0,-0.612091382,2.045373604,0.583629129,-0.972978944,1.959605089,0,0,0
0,1.616149596,-0.880723764,-0.614614714,0.676641306,0.357206603,1.51989311,1.698896198,-0.90225695,-2.624433357,-0.641226975,-0.037168018,1.019067822
